date,Avg Duration (s),Trip Count,z-score(duration),z-score(trip count),Anomaly?
2024-08-06,1452.0,28759,0.12,0.17,No
2024-08-02,1466.0,29491,0.18,0.35,No
2024-08-14,1260.0,32006,-0.76,0.96,No
2024-08-11,1831.0,28024,1.85,0.0,No
2024-08-12,1400.0,29872,-0.12,0.44,No
2024-08-13,1337.0,33339,-0.41,1.28,No
2024-08-08,1206.0,28375,-1.01,0.08,No
2024-08-09,1328.0,29001,-0.45,0.23,No
2024-08-01,1410.0,29430,-0.08,0.34,No
2024-08-04,1555.0,26024,0.59,-0.49,No
2024-08-10,1662.0,27356,1.08,-0.17,No
2024-08-05,1259.0,30250,-0.77,0.53,No
2024-08-07,1459.0,30651,0.15,0.63,No
2024-08-03,1620.0,28792,0.89,0.18,No
2024-08-23,1201.0,25740,-1.03,-0.56,No
2024-08-26,1328.0,22382,-0.45,-1.37,No
2024-08-19,1239.0,27951,-0.86,-0.02,No
2024-08-27,1576.0,29762,0.69,0.42,No
2024-08-25,1454.0,21969,0.13,-1.47,No
2024-08-31,1925.0,24206,2.29,-0.93,Yes
2024-08-24,1133.0,10962,-1.34,-4.13,Yes
2024-08-20,1100.0,31258,-1.5,0.78,No
2024-08-22,1092.0,25087,-1.53,-0.71,No
2024-08-29,1612.0,31271,0.85,0.78,No
2024-08-28,1618.0,31389,0.88,0.81,No
2024-08-16,1504.0,29650,0.36,0.39,No
2024-08-15,1244.0,30742,-0.84,0.65,No
2024-08-21,1100.0,30103,-1.5,0.5,No
2024-08-30,1471.0,28656,0.2,0.15,No
2024-08-17,1713.0,29804,1.31,0.43,No
2024-08-18,1663.0,26903,1.08,-0.27,No
