"#",Station Name,Starts,Ends,Net Flow
1,"Waterloo Station 3, Waterloo",13629,549,13080
2,"Waterloo Station 1, Waterloo",10199,2166,8033
3,"Waterloo Station 2, Waterloo",7082,480,6602
4,"Argyle Street, Kings Cross",8049,2011,6038
5,"Eagle Wharf Road, Hoxton",3765,1122,2643
6,"Boston Place, Marylebone",3828,1273,2555
7,"Maida Vale, Maida Vale",2629,512,2117
8,"Macclesfield Rd, St Lukes",2504,499,2005
9,"Canada Water Station, Rotherhithe",2404,597,1807
10,"Caldwell Street, Stockwell",2206,407,1799
