Community ID,Size,Major Regions
3682,392,United States
3386,173,China
2564,105,Brazil
4029,84,Russia
3682,78,Canada
3386,62,Japan
3316,62,Indonesia
507,59,India
3682,56,Mexico
3998,54,France
3998,45,United Kingdom
3682,44,Colombia
3998,42,Turkey
3998,41,Norway
3998,40,Spain
3998,39,Greece
3316,36,Australia
2131,35,Iran
3998,35,Sweden
3998,35,Italy
3361,33,Australia
3998,32,Germany
2006,31,Australia
2430,31,Philippines
3316,27,Malaysia
2564,26,Argentina
3998,26,Algeria
507,25,Saudi Arabia
5,23,Papua New Guinea
4075,23,French Polynesia
3361,22,New Zealand
1997,22,Vanuatu
507,21,Pakistan
3316,20,Thailand
3386,19,Vietnam
3998,19,Finland
813,18,South Africa
3693,18,United States
5967,18,United States
2908,17,Kazakhstan
3995,17,Greenland
3682,17,Venezuela
3682,16,Peru
1997,16,Solomon Islands
3682,15,Bahamas
3386,15,South Korea
3998,14,Portugal
2762,14,Bolivia
3774,14,United States
3316,14,Burma
3420,13,United States
507,13,Ethiopia
3682,13,Costa Rica
3998,12,Romania
3998,12,Ukraine
3386,12,Thailand
3682,12,Ecuador
3998,12,Morocco
5544,12,Canada
5496,11,Canada
3682,11,Chile
4029,11,Uzbekistan
3998,11,Poland
5487,10,Canada
813,10,Mozambique
3998,10,Russia
3998,10,Nigeria
3682,9,Cuba
507,9,Yemen
49,9,Canada
3386,9,Taiwan
3998,8,Denmark
7206,8,United States
4327,8,Norway
3093,8,Nepal
3361,8,Fiji
3998,8,Croatia
3998,8,Angola
100,8,Canada
202,8,Canada
3808,8,United States
3998,8,Tunisia
507,8,United Arab Emirates
507,8,Tanzania
3682,7,Dominican Republic
169,7,Canada
532,7,United Kingdom
2442,7,Argentina
3998,7,Cape Verde
3998,7,Libya
813,7,Zambia
149,7,Canada
3998,7,Ireland
507,7,Egypt
2003,7,New Caledonia
507,7,Bangladesh
6374,7,Mongolia
3682,7,Honduras
2851,6,Venezuela
507,6,Nigeria
5520,6,Canada
3322,6,Australia
3682,6,Puerto Rico
3998,6,Austria
155,6,Canada
813,6,Madagascar
507,6,Kenya
3599,5,United States
7424,5,Kenya
3017,5,India
2006,5,Cook Islands
3998,5,Ghana
3998,5,Belgium
3414,5,United States
1865,5,Panama
507,5,Somalia
3682,5,Netherlands Antilles
3998,5,Netherlands
3304,5,Malaysia
3998,5,Switzerland
1638,5,Congo (Kinshasa)
507,5,Sudan
3726,4,United States
5891,4,French Polynesia
3386,4,Russia
507,4,Sri Lanka
7146,4,United States
507,4,Afghanistan
2397,4,Philippines
3386,4,Laos
3998,4,Bulgaria
8256,4,Brazil
813,4,Botswana
11229,4,Congo (Kinshasa)
3043,4,India
813,4,Namibia
11,3,Iceland
3998,3,Bosnia and Herzegovina
507,3,Uganda
3998,3,Azerbaijan
3316,3,Maldives
3998,3,Georgia
2650,3,Chile
507,3,Maldives
2526,3,Brazil
953,3,Angola
3998,3,Mauritania
3998,3,Egypt
3998,3,Senegal
94,3,Canada
813,3,Zimbabwe
3682,3,Belize
3988,3,Brazil
3386,3,Cambodia
3998,3,Czech Republic
7111,3,United States
196,3,Canada
507,3,Iraq
3615,3,United States
3794,3,United States
3998,3,Lithuania
3998,3,Estonia
3316,3,Laos
3576,3,Colombia
507,3,Oman
916,3,Madagascar
2006,3,New Zealand
6134,3,United States
2948,3,Russia
3486,3,United States
7252,3,Canada
4029,3,Tajikistan
813,3,Angola
55,3,Canada
2789,3,Peru
3998,3,Cyprus
3682,3,Cayman Islands
4362,2,Russia
3682,2,Haiti
507,2,Seychelles
7374,2,Brazil
3386,2,Philippines
8199,2,United States
5547,2,Canada
2564,2,Uruguay
4029,2,Armenia
3998,2,Slovakia
3682,2,Saint Lucia
7207,2,United States
5469,2,Canada
5906,2,Vanuatu
3386,2,Mongolia
5510,2,Canada
3998,2,Cameroon
3998,2,Western Sahara
2564,2,Paraguay
4029,2,Azerbaijan
3491,2,United States
7634,2,Namibia
3998,2,Liberia
3998,2,Hungary
897,2,Congo (Kinshasa)
7078,2,United States
3682,2,Jamaica
3682,2,Guadeloupe
3386,2,Northern Mariana Islands
160,2,Canada
2487,2,Argentina
1028,2,Congo (Kinshasa)
2688,2,Ecuador
3682,2,Virgin Islands
5490,2,Canada
3764,2,United States
3998,2,Jordan
6040,2,Brazil
1037,2,Congo (Kinshasa)
3682,2,Trinidad and Tobago
507,2,Canada
3682,2,Guatemala
916,2,Reunion
7183,2,United States
6309,2,Australia
3998,2,Guernsey
1754,2,Turks and Caicos Islands
4029,2,Czech Republic
3682,2,Saint Kitts and Nevis
3998,2,Iraq
813,2,Malawi
3361,2,Wallis and Futuna
3682,2,Guyana
4029,2,Kyrgyzstan
897,2,Cameroon
3361,2,Kiribati
6265,2,Australia
3998,2,Israel
3998,2,Congo (Brazzaville)
5968,2,United States
5474,2,Canada
3998,2,Equatorial Guinea
507,2,Rwanda
507,2,Eritrea
1587,2,Israel
3998,2,Serbia
3998,2,Madagascar
3682,2,British Virgin Islands
5893,2,Vanuatu
3832,2,United States
3998,2,Burkina Faso
507,2,Iran
13009,1,Germany
8621,1,Germany
2022,1,New Zealand
9825,1,Nigeria
425,1,Finland
11648,1,United States
1885,1,Panama
8276,1,United States
8077,1,United States
8477,1,Canada
1886,1,Costa Rica
3507,1,United States
6128,1,United States
1549,1,Italy
10157,1,Ukraine
6369,1,Mongolia
7573,1,Australia
3788,1,United States
11810,1,Egypt
2820,1,Venezuela
1431,1,France
4236,1,Canada
2437,1,Argentina
3252,1,Indonesia
8052,1,United States
5458,1,Canada
13458,1,Nigeria
677,1,Poland
7080,1,United States
8286,1,United States
3090,1,India
3516,1,United States
343,1,Germany
5745,1,United States
4147,1,United States
8360,1,Canada
360,1,Germany
10162,1,United States
2379,1,South Korea
4223,1,United States
824,1,South Africa
2827,1,Venezuela
813,1,Congo (Kinshasa)
7260,1,Canada
83,1,Canada
13719,1,Portugal
13357,1,Greenland
1581,1,Czech Republic
3787,1,United States
201,1,Canada
205,1,Canada
8606,1,United States
11207,1,Brazil
3998,1,Congo (Kinshasa)
1426,1,France
4031,1,New Zealand
1045,1,Mali
2257,1,Marshall Islands
12055,1,China
1672,1,Switzerland
13478,1,China
11081,1,United States
689,1,Sweden
7494,1,United States
297,1,Togo
6100,1,Marshall Islands
5700,1,Sudan
7103,1,United States
8305,1,United States
705,1,Sweden
710,1,Sweden
8513,1,United States
8763,1,United States
11176,1,Brazil
3985,1,Yemen
11995,1,Russia
2196,1,Oman
13399,1,Brazil
5806,1,Slovakia
8618,1,Austria
423,1,Finland
12034,1,Australia
3637,1,United States
7046,1,Hungary
2058,1,Bahrain
7264,1,Canada
6074,1,Antigua and Barbuda
3316,1,Nauru
7293,1,Nicaragua
1698,1,Turkey
713,1,Sweden
11355,1,Papua New Guinea
2156,1,Iran
3957,1,Lithuania
7363,1,Colombia
567,1,United Kingdom
13777,1,Russia
1777,1,Honduras
8984,1,Australia
7984,1,United States
3789,1,United States
195,1,Canada
10017,1,United States
13623,1,French Polynesia
6840,1,Germany
12856,1,United States
7658,1,United States
11274,1,Australia
2484,1,Argentina
2685,1,Ecuador
1090,1,Mauritania
9892,1,Indonesia
7702,1,United States
11921,1,Japan
925,1,Madagascar
5530,1,Canada
7134,1,Germany
7544,1,Germany
9759,1,Bahamas
1160,1,Libya
7587,1,United States
8593,1,United States
3600,1,United States
9413,1,United States
1015,1,Malawi
427,1,Finland
9232,1,Germany
